cliente_id,idade,genero,nacionalidade,distrito_residencia,cliente_desde,tipo_cliente,cliente_habitual
C002216,46,F,PT,Aveiro,2023-04-02,Restaurante,Não
C002583,41,F,PT,Aveiro,2024-08-30,Hotel,Não
C001663,18,M,ES,,2023-08-31,Restaurante,Não
C003028,49,M,PT,Porto,2024-08-30,Restaurante,Não
C004344,58,F,ES,,2023-03-31,Restaurante,Não
C002681,52,F,ES,,2023-11-08,Restaurante,Não
C001766,28,F,PT,Braga,2023-07-16,Hotel,Não
C001124,23,F,ES,,2024-11-14,Restaurante,Não
C004055,25,M,PT,Faro,2023-09-25,Restaurante,Não
C003762,41,M,UK,,2023-04-02,Restaurante,Não
C001536,18,M,PT,Lisboa,2023-01-26,Restaurante,Não
C002945,47,M,DE,,2023-10-19,Hotel,Não
C002988,43,M,PT,Lisboa,2024-08-31,Ambos,Não
C004292,35,F,PT,Porto,2023-05-14,Restaurante,Não
C004343,73,F,PT,Porto,2024-01-11,Restaurante,Sim
C004425,27,M,PT,Porto,2023-12-30,Hotel,Não
C007942,46,F,FR,,2024-09-06,Restaurante,Sim
C004998,80,M,FR,,2024-03-23,Restaurante,Não
C002749,48,F,PT,Porto,2023-04-15,Hotel,Sim
C002303,35,M,FR,,2023-03-05,Restaurante,Não
C003933,56,M,ES,,2023-05-31,Restaurante,Sim
C005957,40,F,FR,,2024-12-22,Restaurante,Não
C006132,33,F,UK,,2023-06-09,Hotel,Não
C007597,18,F,DE,,2023-08-10,Restaurante,Não
C000795,24,F,PT,Outro,2023-07-27,Restaurante,Não
C003164,30,F,PT,Lisboa,2023-09-01,Hotel,Não
C007941,18,F,FR,,2023-08-09,Hotel,Sim
C003182,50,M,PT,Lisboa,2024-06-07,Restaurante,Não
C000764,40,M,ES,,2023-10-02,Restaurante,Não
C003079,45,F,UK,,2024-04-14,Restaurante,Não
C000812,34,F,UK,,2023-03-30,Ambos,Sim
C007260,80,M,PT,Porto,2024-07-10,Hotel,Sim
C006932,55,F,ES,,2024-04-22,Restaurante,Não
C001619,35,F,PT,Faro,2023-05-28,Restaurante,Não
C006827,18,M,PT,Braga,2024-07-06,Restaurante,Não
C001043,59,M,FR,,2024-08-26,Restaurante,Sim
C005319,38,F,UK,,2023-03-16,Restaurante,Não
C004795,39,F,PT,Lisboa,2024-04-16,Hotel,Não
C000488,24,F,FR,,2024-08-11,Hotel,Não
C001018,34,F,FR,,2023-12-06,Ambos,Não
C002816,55,M,DE,,2024-08-03,Restaurante,Não
C002717,52,F,PT,Faro,2024-07-16,Restaurante,Sim
C005364,27,F,PT,Porto,2023-10-13,Restaurante,Não
C002930,57,F,PT,Porto,2023-11-27,Restaurante,Não
C003363,18,F,PT,Lisboa,2024-10-25,Restaurante,Sim
C005166,57,M,FR,,2024-07-24,Ambos,Sim
C001076,34,M,UK,,2023-05-14,Hotel,Não
C006399,56,F,FR,,2024-02-18,Restaurante,Não
C004982,56,M,PT,Lisboa,2024-04-23,Restaurante,Não
C006229,55,F,UK,,2024-10-28,Hotel,Não
C002922,53,F,PT,Coimbra,2024-08-24,Ambos,Não
C004020,40,F,ES,,2023-01-20,Hotel,Não
C004332,23,F,PT,Lisboa,2024-02-29,Ambos,Não
C007000,48,M,PT,Lisboa,2024-10-16,Restaurante,Não
C001323,40,M,UK,,2023-10-04,Restaurante,Não
