cliente_id,idade,genero,nacionalidade,distrito_residencia,cliente_desde,tipo_cliente,cliente_habitual,ano_primeira_interacao,mes_primeira_interacao,dia_primeira_interacao,cliente_habitual_bool,anos_desde_primeira_interacao,faixa_etaria
C002216,46,F,PT,Aveiro,2023-04-02,Restaurante,Não,2023,4,2,False,2.5,45-54
C002583,41,F,PT,Aveiro,2024-08-30,Hotel,Não,2024,8,30,False,1.1,35-44
C001663,18,M,ES,Estrangeiro,2023-08-31,Restaurante,Não,2023,8,31,False,2.1,18-24
C003028,49,M,PT,Porto,2024-08-30,Restaurante,Não,2024,8,30,False,1.1,45-54
C004344,58,F,ES,Estrangeiro,2023-03-31,Restaurante,Não,2023,3,31,False,2.6,55-64
C002681,52,F,ES,Estrangeiro,2023-11-08,Restaurante,Não,2023,11,8,False,1.9,45-54
C001766,28,F,PT,Braga,2023-07-16,Hotel,Não,2023,7,16,False,2.3,25-34
C001124,23,F,ES,Estrangeiro,2024-11-14,Restaurante,Não,2024,11,14,False,0.9,18-24
C004055,25,M,PT,Faro,2023-09-25,Restaurante,Não,2023,9,25,False,2.1,25-34
C003762,41,M,UK,Estrangeiro,2023-04-02,Restaurante,Não,2023,4,2,False,2.5,35-44
C001536,18,M,PT,Lisboa,2023-01-26,Restaurante,Não,2023,1,26,False,2.7,18-24
C002945,47,M,DE,Estrangeiro,2023-10-19,Hotel,Não,2023,10,19,False,2.0,45-54
C002988,43,M,PT,Lisboa,2024-08-31,Ambos,Não,2024,8,31,False,1.1,35-44
C004292,35,F,PT,Porto,2023-05-14,Restaurante,Não,2023,5,14,False,2.4,35-44
C004343,73,F,PT,Porto,2024-01-11,Restaurante,Sim,2024,1,11,True,1.8,65+
C004425,27,M,PT,Porto,2023-12-30,Hotel,Não,2023,12,30,False,1.8,25-34
C007942,46,F,FR,Estrangeiro,2024-09-06,Restaurante,Sim,2024,9,6,True,1.1,45-54
C004998,80,M,FR,Estrangeiro,2024-03-23,Restaurante,Não,2024,3,23,False,1.6,65+
C002749,48,F,PT,Porto,2023-04-15,Hotel,Sim,2023,4,15,True,2.5,45-54
C002303,35,M,FR,Estrangeiro,2023-03-05,Restaurante,Não,2023,3,5,False,2.6,35-44
C003933,56,M,ES,Estrangeiro,2023-05-31,Restaurante,Sim,2023,5,31,True,2.4,55-64
C005957,40,F,FR,Estrangeiro,2024-12-22,Restaurante,Não,2024,12,22,False,0.8,35-44
C006132,33,F,UK,Estrangeiro,2023-06-09,Hotel,Não,2023,6,9,False,2.4,25-34
C007597,18,F,DE,Estrangeiro,2023-08-10,Restaurante,Não,2023,8,10,False,2.2,18-24
C000795,24,F,PT,Outro,2023-07-27,Restaurante,Não,2023,7,27,False,2.2,18-24
C003164,30,F,PT,Lisboa,2023-09-01,Hotel,Não,2023,9,1,False,2.1,25-34
C007941,18,F,FR,Estrangeiro,2023-08-09,Hotel,Sim,2023,8,9,True,2.2,18-24
C003182,50,M,PT,Lisboa,2024-06-07,Restaurante,Não,2024,6,7,False,1.4,45-54
C000764,40,M,ES,Estrangeiro,2023-10-02,Restaurante,Não,2023,10,2,False,2.0,35-44
C003079,45,F,UK,Estrangeiro,2024-04-14,Restaurante,Não,2024,4,14,False,1.5,45-54
C000812,34,F,UK,Estrangeiro,2023-03-30,Ambos,Sim,2023,3,30,True,2.6,25-34
C007260,80,M,PT,Porto,2024-07-10,Hotel,Sim,2024,7,10,True,1.3,65+
C006932,55,F,ES,Estrangeiro,2024-04-22,Restaurante,Não,2024,4,22,False,1.5,55-64
C001619,35,F,PT,Faro,2023-05-28,Restaurante,Não,2023,5,28,False,2.4,35-44
C006827,18,M,PT,Braga,2024-07-06,Restaurante,Não,2024,7,6,False,1.3,18-24
C001043,59,M,FR,Estrangeiro,2024-08-26,Restaurante,Sim,2024,8,26,True,1.1,55-64
C005319,38,F,UK,Estrangeiro,2023-03-16,Restaurante,Não,2023,3,16,False,2.6,35-44
C004795,39,F,PT,Lisboa,2024-04-16,Hotel,Não,2024,4,16,False,1.5,35-44
C000488,24,F,FR,Estrangeiro,2024-08-11,Hotel,Não,2024,8,11,False,1.2,18-24
C001018,34,F,FR,Estrangeiro,2023-12-06,Ambos,Não,2023,12,6,False,1.9,25-34
C002816,55,M,DE,Estrangeiro,2024-08-03,Restaurante,Não,2024,8,3,False,1.2,55-64
C002717,52,F,PT,Faro,2024-07-16,Restaurante,Sim,2024,7,16,True,1.3,45-54
C005364,27,F,PT,Porto,2023-10-13,Restaurante,Não,2023,10,13,False,2.0,25-34
C002930,57,F,PT,Porto,2023-11-27,Restaurante,Não,2023,11,27,False,1.9,55-64
C003363,18,F,PT,Lisboa,2024-10-25,Restaurante,Sim,2024,10,25,True,1.0,18-24
C005166,57,M,FR,Estrangeiro,2024-07-24,Ambos,Sim,2024,7,24,True,1.2,55-64
