reserva_id,cliente_id,data_checkin,data_checkout,noites,antecedencia_dias,num_hospedes,tipo_quarto,motivo_viagem,canal_reserva,regime,mes,epoca,fim_semana,feriado,evento_cidade,foi_spa,num_massagens,pediu_room_service,num_vezes_room_service,late_checkout,estacionamento,transfer_aeroporto,consumo_minibar,consumo_bar_hotel,gasto_spa,rating_limpeza,rating_staff,rating_localizacao,rating_geral,fez_reclamacao,preco_quarto_noite,gasto_quarto_total,gasto_extras_total,gasto_total,desconto_aplicado
H004323,C002561,2023-07-14,2023-07-16,2,133,2,Standard,Evento,Booking,Pequeno_Almoco,7,Alta,Não,Não,Não,Não,0,Não,0,Sim,Não,Não,0.0,18.63,0.0,4.0,4.0,5,4,Não,103.9,207.8,18.63,226.43,0.0
H004501,C002274,2024-10-21,2024-10-24,3,3,4,Familiar,Business,Booking,Pequeno_Almoco,10,Media,Não,Não,Não,Não,0,Não,0,Não,Sim,Sim,37.54,0.0,0.0,5.0,4.0,4,4,Não,170.15,510.45,111.54,621.99,0.0
H005429,C007773,2024-07-19,2024-07-24,5,60,2,Superior,Lazer,Booking,Pequeno_Almoco,7,Alta,Não,Não,Não,Sim,3,Não,0,Não,Sim,Não,0.0,47.62,120.77,4.0,5.0,4,5,Não,168.96,844.8,208.39,1053.19,0.0
H003793,C001820,2023-11-12,2023-11-16,4,12,1,Standard,Lazer,Booking,Meia_Pensao,11,Baixa,Sim,Não,Não,Sim,1,Não,0,Não,Não,Sim,0.0,0.0,73.22,4.0,5.0,5,5,Não,91.91,367.64,223.22,590.86,0.0
H003627,C002259,2024-09-11,2024-09-13,2,79,2,Standard,Lazer,Direto,Pequeno_Almoco,9,Alta,Não,Não,Não,Sim,1,Não,0,Não,Sim,Não,17.11,54.2,41.61,5.0,5.0,4,4,Não,102.11,204.22,128.92,333.14,0.0
H000231,C004894,2023-03-23,2023-03-26,3,5,1,Standard,Lazer,Booking,Pequeno_Almoco,3,Baixa,Não,Não,Não,Não,0,Sim,2,Não,Não,Sim,0.0,0.0,0.0,4.0,4.0,3,4,Não,75.21,225.63,110.97,336.6,0.0
H000034,C000896,2023-11-24,2023-11-27,3,13,1,Standard,Lazer,Booking,Pequeno_Almoco,11,Baixa,Não,Não,Não,Não,0,Não,0,Não,Não,Sim,34.76,20.13,0.0,5.0,5.0,5,5,Não,76.75,230.25,104.89,335.14,0.0
H003476,C003901,2024-11-10,2024-11-14,4,22,2,Superior,Evento,Direto,Pequeno_Almoco,11,Baixa,Sim,Não,Não,Sim,2,Não,0,Não,Não,Não,0.0,23.68,107.75,4.0,5.0,4,4,Não,143.87,575.48,131.43,706.91,71.35
H005125,C000402,2023-04-20,2023-04-26,6,23,3,Familiar,Lazer,Direto,Pequeno_Almoco,4,Media,Não,Não,Não,Não,0,Não,0,Sim,Não,Não,29.27,45.49,0.0,5.0,4.0,5,4,Não,184.05,1104.3,74.76,1179.06,0.0
H000945,C003351,2024-09-28,2024-10-03,5,37,1,Standard,Business,Direto,Pequeno_Almoco,9,Alta,Sim,Não,Não,Sim,1,Sim,1,Não,Não,Não,18.35,0.0,45.41,4.0,4.0,5,3,Não,113.9,569.5,89.04,658.54,0.0
H001303,C004653,2023-08-26,2023-08-29,3,39,2,Superior,Lazer,Direto,Pequeno_Almoco,8,Alta,Sim,Não,Não,Não,0,Sim,1,Não,Não,Não,30.27,0.0,0.0,5.0,5.0,3,5,Não,195.12,585.36,53.12,638.48,42.26
H000372,C000724,2024-06-28,2024-07-01,3,30,3,Standard,Business,Direto,Pequeno_Almoco,6,Alta,Não,Não,Não,Não,0,Não,0,Não,Sim,Não,0.0,0.0,0.0,4.0,3.0,5,4,Não,109.02,327.06,24.0,351.06,0.0
H000933,C002568,2024-01-31,2024-02-02,2,11,2,Standard,Lazer,Direto,Pequeno_Almoco,1,Baixa,Não,Não,Não,Não,0,Não,0,Não,Não,Não,22.81,0.0,0.0,4.0,4.0,4,3,Sim,81.62,163.24,22.81,186.05,0.0
H002272,C002020,2024-05-25,2024-05-26,1,33,4,Standard,Evento,Expedia,Pequeno_Almoco,5,Media,Sim,Não,Não,Não,0,Sim,2,Sim,Não,Sim,0.0,0.0,0.0,5.0,4.0,5,4,Não,92.38,92.38,82.8,175.18,0.0
H001515,C004048,2023-05-27,2023-06-04,8,31,2,Standard,Lazer,Direto,Pequeno_Almoco,5,Media,Sim,Não,Não,Sim,3,Não,0,Não,Não,Sim,0.0,0.0,124.0,5.0,4.0,5,4,Não,107.54,860.32,174.0,1034.32,120.6
H003459,C002416,2023-05-18,2023-05-20,2,40,1,Superior,Lazer,Expedia,Pequeno_Almoco,5,Media,Não,Não,Não,Sim,1,Sim,2,Sim,Não,Não,0.0,0.0,42.94,4.0,4.0,4,5,Não,130.33,260.66,97.89,358.55,0.0
H005020,C005569,2023-02-22,2023-02-25,3,8,2,Standard,Business,Booking,Pequeno_Almoco,2,Baixa,Não,Não,Não,Não,0,Sim,3,Não,Sim,Sim,0.0,0.0,0.0,3.0,4.0,4,4,Não,80.83,242.49,147.94,390.43,36.37
H000009,C001601,2024-02-12,2024-02-17,5,11,2,Suite,Lazer,Expedia,Pequeno_Almoco,2,Baixa,Não,Não,Não,Sim,1,Sim,3,Sim,Sim,Não,12.49,0.0,49.27,4.0,4.0,5,4,Não,180.47,902.35,182.03,1084.38,108.59
H001631,C003397,2024-03-31,2024-04-07,7,35,2,Superior,Lazer,Direto,Pequeno_Almoco,3,Baixa,Sim,Não,Não,Não,0,Sim,2,Sim,Sim,Não,0.0,34.64,0.0,4.0,5.0,4,5,Não,135.47,948.29,157.16,1105.45,151.22
H001865,C000675,2023-05-21,2023-05-22,1,24,4,Superior,Business,Expedia,Meia_Pensao,5,Media,Sim,Não,Não,Sim,2,Sim,3,Não,Sim,Não,0.0,0.0,105.54,2.0,4.0,4,4,Não,157.34,157.34,288.8,446.14,0.0
H003257,C000171,2023-05-17,2023-05-19,2,29,2,Standard,Business,Booking,Pequeno_Almoco,5,Media,Não,Não,Não,Não,0,Sim,5,Sim,Sim,Não,0.0,0.0,0.0,4.0,3.0,4,4,Não,85.25,170.5,101.51,272.01,0.0
H000590,C003306,2024-06-03,2024-06-06,3,69,4,Familiar,Evento,Direto,Meia_Pensao,6,Alta,Não,Não,Não,Sim,1,Não,0,Não,Não,Não,14.87,25.08,62.18,5.0,4.0,4,4,Não,222.46,667.38,402.13,1069.51,122.11
H002118,C006157,2023-09-04,2023-09-07,3,39,2,Superior,Lazer,Booking,Pequeno_Almoco,9,Alta,Não,Não,Não,Não,0,Sim,2,Não,Não,Não,0.0,0.0,0.0,4.0,4.0,4,5,Não,159.23,477.69,55.94,533.63,0.0
H000578,C000438,2024-05-27,2024-05-30,3,23,1,Standard,Business,Direto,Pequeno_Almoco,5,Media,Não,Não,Não,Não,0,Sim,5,Não,Sim,Sim,0.0,0.0,0.0,4.0,4.0,5,4,Não,97.38,292.14,198.41,490.55,0.0
H002665,C000869,2024-07-15,2024-07-18,3,76,3,Familiar,Business,Booking,Pequeno_Almoco,7,Alta,Não,Não,Não,Sim,1,Não,0,Não,Não,Sim,18.64,13.27,57.63,4.0,4.0,4,4,Não,216.02,648.06,139.54,787.6,0.0
