reserva_id,cliente_id,data,hora,num_pessoas_mesa,dia_semana,mes,epoca,fim_semana,feriado,evento_cidade,temperatura_exterior,chuva,tinha_reserva,tempo_espera_minutos,tipo_servico,prato_principal,pediu_entrada,pediu_sobremesa,pediu_vinho,pediu_cafe,num_pratos_partilha,tempo_permanencia_minutos,rating,voltou_visitar,gasto_comida,gasto_bebidas,gasto_total
R004149,C003757,2024-04-20,12:15,1,Saturday,4,Media,Sim,Não,Não,18.0,Não,Sim,12,A_La_Carte,Vegetariano,Sim,Sim,Sim,Não,0,,4.0,Não,37.02,7.85,44.86
R007842,C004347,2024-01-20,22:15,2,Saturday,1,Baixa,Sim,Não,Sim,9.6,Sim,Sim,0,A_La_Carte,Peixe,Não,Não,Sim,Sim,0,60.0,5.0,Sim,36.19,20.22,56.41
R018900,,2023-02-06,21:30,2,Monday,2,Baixa,Não,Não,Não,9.1,Não,Sim,11,Menu_Dia,Peixe,Sim,Sim,Sim,Não,0,30.0,4.0,Não,54.56,14.76,69.32
R004195,C001291,2024-03-13,19:00,1,Wednesday,3,Baixa,Não,Não,Não,16.6,Não,Não,3,A_La_Carte,Peixe,Sim,Não,Sim,Sim,0,102.0,4.0,Sim,37.69,7.82,45.51
R008410,C006398,2024-11-16,22:15,1,Saturday,11,Baixa,Sim,Não,Não,12.6,Não,Não,9,Menu_Dia,Peixe,Não,Não,Não,Sim,0,47.0,4.0,Sim,17.39,3.88,21.28
R018213,,2023-01-20,12:15,2,Friday,1,Baixa,Não,Não,Não,9.4,Sim,Não,27,Menu_Dia,Carne,Sim,Não,Não,Não,0,46.0,3.0,Sim,45.26,7.84,53.1
R002509,C007719,2024-04-17,21:00,2,Wednesday,4,Media,Não,Não,Não,19.4,Não,Sim,8,A_La_Carte,Carne,Sim,Não,Sim,Sim,1,80.0,4.0,Não,81.49,24.83,106.32
R017084,,2024-01-03,22:45,2,Wednesday,1,Baixa,Não,Não,Não,8.6,Não,Não,28,Menu_Dia,Carne,Não,Não,Não,Sim,0,42.0,3.0,Não,30.72,7.56,38.28
R017760,,2023-10-02,20:45,3,Monday,10,Media,Não,Não,Não,13.9,Não,Não,19,Menu_Dia,Peixe,Não,Sim,Não,Não,1,38.0,4.0,Não,64.68,9.98,74.66
R002906,C007468,2023-06-08,12:00,3,Thursday,6,Alta,Não,Não,Não,21.4,Sim,Não,18,Menu_Dia,Peixe,Não,Não,Sim,Sim,0,34.0,4.0,Sim,46.89,74.94,121.84
R008359,C003123,2023-03-29,19:15,2,Wednesday,3,Baixa,Não,Não,Não,19.5,Sim,Sim,3,A_La_Carte,Carne,Não,Não,Sim,Sim,0,57.0,3.0,Não,39.04,18.24,57.29
R003317,C005136,2023-06-16,22:00,2,Friday,6,Alta,Não,Não,Não,15.5,Não,Não,17,Menu_Dia,Carne,Sim,Não,Não,Não,0,30.0,4.0,Sim,45.3,4.95,50.25
R007485,C006676,2024-03-02,19:45,2,Saturday,3,Baixa,Sim,Não,Não,12.1,Sim,Sim,9,Menu_Dia,Carne,Sim,Não,Sim,Não,0,43.0,3.0,Sim,50.47,15.74,66.21
R019366,,2024-04-29,13:00,2,Monday,4,Media,Não,Não,Não,16.6,Não,Não,32,A_La_Carte,Peixe,Não,Não,Sim,Não,1,50.0,3.0,Não,54.87,16.01,70.88
R012520,,2024-04-11,12:15,2,Thursday,4,Media,Não,Não,Não,14.8,Não,Sim,6,A_La_Carte,Carne,Não,Não,Sim,Sim,0,83.0,4.0,Não,64.24,17.21,81.46
R013221,,2024-04-25,22:15,1,Thursday,4,Media,Não,Não,Não,14.5,Não,Sim,4,A_La_Carte,Peixe,Não,Sim,Sim,Não,0,73.0,4.0,Não,26.99,7.42,34.41
R024951,,2023-01-01,19:15,3,Sunday,1,Baixa,Sim,Sim,Não,12.7,Sim,Sim,6,Menu_Dia,Carne,Sim,Não,Sim,Não,0,30.0,4.0,Sim,84.7,69.38,154.08
R008242,C007335,2024-07-23,20:30,1,Tuesday,7,Alta,Não,Não,Não,19.9,Não,Sim,3,Menu_Dia,Peixe,Não,Não,Não,Sim,0,38.0,3.0,Sim,13.91,3.71,17.61
R008980,C000188,2023-04-11,21:00,2,Tuesday,4,Media,Não,Não,Não,14.1,Não,Sim,12,Menu_Degustacao,Carne,Sim,Sim,Não,Não,0,123.0,4.0,Sim,128.99,6.75,135.74
R009684,C002868,2023-06-10,12:00,6,Saturday,6,Alta,Sim,Não,Não,22.7,Não,Sim,7,A_La_Carte,Carne,Não,Sim,Não,Sim,0,69.0,4.0,Sim,193.97,26.81,220.79
R012919,,2024-09-07,21:30,4,Saturday,9,Alta,Sim,Não,Não,18.0,Não,Não,21,Menu_Dia,Carne,Sim,Não,Sim,Sim,1,48.0,2.0,Não,121.72,68.39,190.11
R024967,,2024-07-28,13:15,5,Sunday,7,Alta,Sim,Não,Não,23.8,Não,Sim,6,A_La_Carte,Peixe,Não,Sim,Sim,Não,0,64.0,4.0,Não,122.32,55.45,177.78
R009110,C000973,2023-10-27,22:45,3,Friday,10,Media,Não,Não,Não,14.5,Sim,Não,22,Menu_Dia,Carne,Não,Não,Sim,Sim,0,47.0,5.0,Não,46.35,43.04,89.39
R016191,,2023-11-29,22:45,1,Wednesday,11,Baixa,Não,Não,Sim,15.1,Sim,Sim,7,A_La_Carte,Carne,Não,Não,Não,Não,0,,3.0,Sim,20.06,2.74,22.8
R010280,C003646,2023-12-24,13:30,3,Sunday,12,Baixa,Sim,Não,Sim,9.7,Não,Sim,7,A_La_Carte,Carne,Não,Sim,Não,Não,0,78.0,3.0,Sim,83.47,7.76,91.23
R012777,,2024-10-26,14:30,2,Saturday,10,Media,Sim,Não,Não,20.6,Não,Não,17,A_La_Carte,Carne,Não,Sim,Não,Sim,0,,,Não,64.95,8.63,73.58
R023435,,2024-02-03,14:15,4,Saturday,2,Baixa,Sim,Não,Não,11.4,Não,Sim,2,A_La_Carte,Carne,Não,Não,Sim,Sim,1,62.0,3.0,Não,112.86,59.12,171.99
R025424,,2024-04-12,21:15,2,Friday,4,Media,Não,Não,Não,11.8,Não,Sim,1,A_La_Carte,Outro,Não,Não,Não,Sim,0,88.0,5.0,Não,41.06,9.45,50.5
R008642,C007203,2023-12-09,12:15,2,Saturday,12,Baixa,Sim,Não,Não,12.4,Não,Sim,12,A_La_Carte,Carne,Sim,Não,Não,Sim,0,60.0,4.0,Sim,81.51,8.8,90.32
R012382,,2024-12-16,14:30,2,Monday,12,Baixa,Não,Não,Não,13.3,Sim,Sim,1,A_La_Carte,Carne,Não,Não,Sim,Sim,1,87.0,4.0,Não,71.3,16.16,87.46
R002741,C003334,2024-04-30,19:30,4,Tuesday,4,Media,Não,Não,Não,9.4,Não,Não,24,Menu_Dia,Peixe,Não,Não,Sim,Não,1,57.0,3.0,Não,75.25,44.03,119.28
R001490,C003809,2024-08-08,21:00,2,Thursday,8,Alta,Não,Não,Não,25.4,Não,Sim,6,A_La_Carte,Peixe,Não,Não,Sim,Não,0,88.0,4.0,Sim,52.07,16.87,68.93
R008957,C005157,2024-11-12,13:45,2,Tuesday,11,Baixa,Não,Não,Não,10.7,Não,Sim,10,A_La_Carte,Peixe,Não,Não,Sim,Sim,1,,5.0,Não,58.39,22.1,80.49
R016322,,2023-01-18,19:15,2,Wednesday,1,Baixa,Não,Não,Não,5.7,Não,Não,39,Menu_Dia,Peixe,Não,Não,Sim,Sim,0,54.0,3.0,Não,24.27,20.6,44.88
R018012,,2024-03-24,20:00,2,Sunday,3,Baixa,Sim,Não,Não,17.1,Não,Sim,2,A_La_Carte,Carne,Não,Sim,Sim,Não,0,77.0,5.0,Não,66.49,17.64,84.13
R007179,C002566,2023-08-19,22:45,3,Saturday,8,Alta,Sim,Não,Não,22.1,Sim,Sim,6,Menu_Dia,Peixe,Não,Não,Sim,Não,1,34.0,4.0,Não,64.05,66.33,130.39
R018956,,2023-09-07,21:45,2,Thursday,9,Alta,Não,Não,Não,19.2,Sim,Não,12,Menu_Dia,Outro,Sim,Não,Não,Sim,0,43.0,2.0,Não,47.34,9.73,57.07
R024109,,2023-07-08,20:15,4,Saturday,7,Alta,Sim,Não,Não,23.5,Sim,Sim,1,A_La_Carte,Vegetariano,Não,Sim,Sim,Sim,3,69.0,4.0,Não,185.77,66.24,252.01
R015969,,2024-08-13,12:00,2,Tuesday,8,Alta,Não,Não,Não,27.3,Sim,Sim,3,Menu_Dia,Peixe,Não,Sim,Não,Não,0,50.0,1.0,Sim,44.08,6.12,50.2
R007800,C002072,2023-02-16,22:30,2,Thursday,2,Baixa,Não,Não,Não,8.6,Não,Sim,5,Menu_Dia,Vegetariano,Sim,Não,Sim,Não,0,48.0,,Sim,46.97,15.46,62.43
R002596,C002369,2024-08-23,19:45,2,Friday,8,Alta,Não,Não,Não,17.4,Não,Sim,1,Menu_Dia,Peixe,Não,Sim,Não,Sim,0,39.0,4.0,Sim,46.38,10.87,57.25
R006966,C003465,2023-06-22,21:00,2,Thursday,6,Alta,Não,Não,Sim,14.8,Não,Não,20,Menu_Degustacao,Peixe,Sim,Sim,Sim,Não,0,131.0,4.0,Sim,132.1,16.25,148.35
R013819,,2023-02-06,14:30,2,Monday,2,Baixa,Não,Não,Não,10.7,Não,Sim,1,Menu_Dia,Carne,Sim,Não,Sim,Não,0,61.0,5.0,Não,45.87,12.99,58.86
R002727,C005100,2024-04-11,13:15,1,Thursday,4,Media,Não,Não,Não,13.7,Não,Não,7,A_La_Carte,Peixe,Sim,Não,Sim,Sim,0,86.0,4.0,Sim,35.4,11.8,47.19
R010129,C001818,2024-06-10,20:15,2,Monday,6,Alta,Não,Não,Não,17.5,Não,Não,4,A_La_Carte,Peixe,Não,Não,Sim,Sim,0,64.0,3.0,Sim,54.63,21.01,75.64
R018271,,2023-05-17,19:15,2,Wednesday,5,Media,Não,Não,Não,23.0,Sim,Não,19,Menu_Dia,Carne,Sim,Não,Não,Não,1,36.0,4.0,Não,63.3,6.63,69.93
R005800,C007919,2023-02-04,20:00,1,Saturday,2,Baixa,Sim,Não,Não,12.6,Não,Não,13,Menu_Degustacao,Carne,Sim,Sim,Sim,Não,0,,4.0,Sim,60.75,8.58,69.34
R005007,C004983,2023-12-28,20:45,3,Thursday,12,Baixa,Não,Não,Sim,11.3,Sim,Não,14,A_La_Carte,Carne,Não,Não,Sim,Sim,1,88.0,4.0,Sim,85.58,73.99,159.58
R017268,,2024-09-25,19:30,2,Wednesday,9,Alta,Não,Não,Não,23.5,Não,Sim,6,Menu_Dia,Carne,Sim,Não,Não,Sim,0,50.0,5.0,Não,48.08,8.52,56.61
R012482,,2024-12-18,12:30,2,Wednesday,12,Baixa,Não,Não,Não,7.3,Sim,Não,45,A_La_Carte,Peixe,Não,Não,Não,Sim,0,79.0,2.0,Não,65.08,10.85,75.93
R015854,,2024-10-21,21:00,3,Monday,10,Media,Não,Não,Não,14.1,Não,Não,9,A_La_Carte,Carne,Sim,Não,Sim,Não,0,49.0,2.0,Não,100.53,68.94,169.48
R005765,C000949,2023-12-26,19:45,2,Tuesday,12,Baixa,Não,Não,Sim,6.6,Não,Não,6,Menu_Dia,Peixe,Sim,Sim,Sim,Não,1,30.0,5.0,Sim,79.05,15.08,94.13
R020136,,2024-09-08,12:00,5,Sunday,9,Alta,Sim,Não,Não,22.9,Não,Sim,9,A_La_Carte,Peixe,Sim,Sim,Sim,Sim,0,80.0,5.0,Sim,242.25,63.4,305.64
R023598,,2023-08-22,22:30,2,Tuesday,8,Alta,Não,Não,Não,20.3,Não,Sim,8,A_La_Carte,Peixe,Não,Não,Não,Não,1,39.0,3.0,Não,53.15,5.18,58.33
R006301,C006044,2024-07-21,12:00,5,Sunday,7,Alta,Sim,Não,Não,20.0,Não,Sim,8,Menu_Degustacao,Peixe,Sim,Sim,Sim,Não,0,166.0,4.0,Sim,451.79,49.79,501.58
R008171,C006178,2023-06-03,14:45,3,Saturday,6,Alta,Sim,Não,Não,20.4,Não,Sim,2,A_La_Carte,Carne,Não,Sim,Não,Sim,0,69.0,4.0,Sim,106.94,11.47,118.41
R021797,,2024-11-12,19:30,3,Tuesday,11,Baixa,Não,Não,Não,12.2,Sim,Sim,13,Menu_Dia,Vegetariano,Sim,Não,Sim,Sim,2,56.0,4.0,Não,103.17,75.56,178.73
R007604,C000154,2023-03-27,22:00,1,Monday,3,Baixa,Não,Não,Não,13.6,Não,Sim,4,A_La_Carte,Peixe,Sim,Não,Sim,Sim,0,88.0,5.0,Não,31.83,10.23,42.07
R016154,,2024-10-30,13:15,1,Wednesday,10,Media,Não,Não,Não,16.2,Não,Sim,6,Menu_Dia,Carne,Não,Não,Não,Sim,0,30.0,4.0,Sim,14.61,4.45,19.06
R003691,C006290,2024-04-03,21:00,1,Wednesday,4,Media,Não,Não,Não,12.5,Não,Não,36,A_La_Carte,Carne,Sim,Sim,Sim,Sim,0,88.0,3.0,Não,33.56,9.33,42.89
R021203,,2024-06-10,22:00,2,Monday,6,Alta,Não,Não,Não,23.6,Sim,Não,45,A_La_Carte,Peixe,Não,Não,Sim,Sim,0,91.0,3.0,Não,39.84,24.38,64.22
R025428,,2023-11-18,19:30,2,Saturday,11,Baixa,Sim,Não,Não,20.1,Não,Não,26,A_La_Carte,Outro,Não,Sim,Não,Não,0,98.0,2.0,Sim,48.79,5.61,54.4
R021011,,2024-10-12,12:45,2,Saturday,10,Media,Sim,Não,Não,18.0,Não,Sim,9,A_La_Carte,Vegetariano,Não,Sim,Sim,Não,0,65.0,4.0,Não,75.53,18.98,94.51
R008311,C007842,2024-12-01,21:30,4,Sunday,12,Baixa,Sim,Não,Não,7.3,Não,Sim,13,A_La_Carte,Vegetariano,Não,Sim,Sim,Não,1,84.0,4.0,Sim,114.63,77.41,192.04
R000383,C000199,2023-09-24,14:45,4,Sunday,9,Alta,Sim,Não,Não,16.5,Não,Sim,3,Menu_Dia,Vegetariano,Sim,Não,Sim,Não,1,44.0,4.0,Sim,102.16,53.84,156.01
